"","from","to","type","subtype"
"1","SARS2","PSTK","ECrel","compound"
"2","SARS1","PSTK","ECrel","compound"
"3","MARS1","MTFMT","ECrel","compound"
"4","MARS2","MTFMT","ECrel","compound"
"5","GATC","QARS1","ECrel","compound"
"6","GATC","NARS1","ECrel","compound"
"7","GATC","NARS2","ECrel","compound"
"8","GATB","QARS1","ECrel","compound"
"9","GATB","NARS1","ECrel","compound"
"10","GATB","NARS2","ECrel","compound"
"11","QRSL1","QARS1","ECrel","compound"
"12","QRSL1","NARS1","ECrel","compound"
"13","QRSL1","NARS2","ECrel","compound"
"14","PSTK","SEPSECS","ECrel","compound"
